10 threads
TotalError = 19.0218
TotalError = 20
TotalError = 14.5745
TotalError = 15.5661
TotalError = 18.3071
TotalError = 20
TotalError = 18.3956
TotalError = 20
TotalError = 20
TotalError = 19.4245
TotalError = 3.65206
TotalError = 6.89614
TotalError = 4.84247
TotalError = 4.84247
TotalError = 5.42841
TotalError = 8.86236
TotalError = 6.37112
TotalError = 4.27655
TotalError = 4.84247
TotalError = 13.7658
TotalError = 4.679
TotalError = 4.23503
TotalError = 8.58399
TotalError = 4.07721
TotalError = 4.29797
TotalError = 6.66613
TotalError = 8.89671
TotalError = 4.5174
TotalError = 3.53113
TotalError = 9.63807
TotalError = 3.28668
TotalError = 2.80119
TotalError = 4.21562
TotalError = 4.26396
TotalError = 3.86453
TotalError = 4.70903
TotalError = 6.83223
TotalError = 2.80786
TotalError = 2.80786
TotalError = 7.07925
TotalError = 3.37703
TotalError = 3.12249
TotalError = 3.95708
TotalError = 3.03406
TotalError = 3.99358
TotalError = 5.76693
TotalError = 6.49039
TotalError = 2.7987
TotalError = 2.79904
TotalError = 6.02256
TotalError = 2.94861
TotalError = 3.65383
TotalError = 3.87017
TotalError = 2.32083
TotalError = 2.32645
TotalError = 6.38471
TotalError = 2.80432
TotalError = 6.45668
TotalError = 2.81801
TotalError = 5.393
TotalError = 2.87127
TotalError = 2.87919
TotalError = 3.91843
TotalError = 1.9452
TotalError = 2.46686
TotalError = 5.89963
TotalError = 2.87919
TotalError = 5.89965
TotalError = 2.87919
TotalError = 6.00421
TotalError = 4.75904
TotalError = 3.83783
TotalError = 6.72301
TotalError = 3.88886
TotalError = 4.40565
TotalError = 7.02149
TotalError = 3.83783
TotalError = 6.89708
TotalError = 3.83783
TotalError = 5.96607
TotalError = 4.72456
TotalError = 3.85439
TotalError = 5.89926
TotalError = 3.85439
TotalError = 4.11751
TotalError = 6.72586
TotalError = 3.85439
TotalError = 5.65519
TotalError = 3.85439
TotalError = 6.94214
TotalError = 4.57547
TotalError = 3.86684
TotalError = 6.07185
TotalError = 6.21238
TotalError = 4.07712
TotalError = 3.86684
TotalError = 3.86684
TotalError = 6.09691
TotalError = 3.86684
TotalError = 6.74248
TotalError = 3.44938
TotalError = 3.09237
TotalError = 3.06953
TotalError = 6.82841
TotalError = 3.01698
TotalError = 4.44686
TotalError = 5.86547
TotalError = 8.10593
TotalError = 3.93433
TotalError = 11.1746
TotalError = 3.36584
TotalError = 5.836
TotalError = 2.67817
TotalError = 2.90011
TotalError = 5.01958
TotalError = 2.67817
TotalError = 3.27257
TotalError = 6.56239
TotalError = 3.27409
TotalError = 5.72685
TotalError = 3.29399
TotalError = 2.8777
TotalError = 2.9429
TotalError = 5.03809
TotalError = 4.99312
TotalError = 2.9429
TotalError = 2.80016
TotalError = 6.62534
TotalError = 2.80016
TotalError = 6.63596
TotalError = 3.25428
TotalError = 2.96025
TotalError = 4.83908
TotalError = 1.96843
TotalError = 6.34109
TotalError = 2.25256
TotalError = 2.79557
TotalError = 6.42699
TotalError = 1.87255
TotalError = 6.724
TotalError = 2.52511
TotalError = 2.25507
TotalError = 4.55364
TotalError = 1.97095
TotalError = 6.35632
TotalError = 1.96532
TotalError = 2.90009
TotalError = 7.15159
TotalError = 2.89931
TotalError = 5.39028
TotalError = 3.17247
TotalError = 3.12591
TotalError = 4.79339
TotalError = 2.91382
TotalError = 7.36604
TotalError = 2.91382
TotalError = 3.84218
TotalError = 6.49563
TotalError = 3.84218
TotalError = 6.03677
TotalError = 4.08615
TotalError = 4.08615
TotalError = 5.54453
TotalError = 3.82751
TotalError = 3.82751
TotalError = 5.72199
TotalError = 3.82751
TotalError = 5.10015
TotalError = 3.82751
TotalError = 5.96498
TotalError = 4.21202
TotalError = 4.05615
